time,signal,drowsiness,delta,theta,alpha,beta
19:46:25,15,0,10,3,9,38
19:46:25,15,0,9,4,11,43
19:46:26,15,0,14,4,5,30
19:46:27,15,1,4,3,20,34
19:46:27,15,0,9,1,4,38
19:46:28,15,0,20,3,2,24
19:46:29,15,0,13,3,4,38
19:46:29,15,0,14,1,2,35
19:46:30,15,1,13,3,10,23
19:46:30,15,0,3,5,2,35
19:46:31,15,0,6,1,3,44
19:46:32,15,0,11,4,6,38
19:46:32,15,0,16,4,4,37
19:46:33,15,0,13,2,9,34
19:46:34,15,0,25,2,1,21
19:46:34,15,0,3,6,7,36
19:46:35,15,0,5,6,5,43
19:46:35,15,1,2,6,5,27
19:46:36,15,0,22,5,6,34
19:46:37,15,5,23,11,8,37
19:46:37,15,0,4,3,14,41
19:46:38,15,0,10,5,6,37
19:46:38,15,4,8,3,12,19
19:46:39,15,0,3,2,9,38
19:46:40,15,0,4,1,19,33
19:46:40,15,0,12,2,3,58
19:46:41,15,0,6,5,3,47
19:46:42,15,0,14,2,10,38
19:46:42,15,0,5,3,8,48
19:46:43,15,1,11,6,7,31
19:46:44,15,0,3,2,4,34
19:46:44,15,0,11,1,3,32
19:46:45,15,0,13,4,2,40
19:46:45,15,0,18,2,7,29
19:46:46,15,0,18,2,10,25
19:46:47,15,0,6,3,20,43
19:46:47,15,0,5,2,3,43
19:46:48,15,5,8,3,8,15
19:46:49,15,0,17,3,9,35
19:46:49,15,0,26,1,5,37
19:46:50,15,0,20,2,4,33
19:46:51,15,0,13,3,10,40
19:46:51,15,0,13,2,2,43
19:46:52,15,0,4,1,2,48
19:46:52,15,1,8,4,12,29
19:46:53,15,0,19,4,1,41
19:46:54,15,0,21,5,8,35
19:46:54,15,0,12,2,7,43
19:46:55,15,0,8,6,7,35
19:46:56,15,0,12,4,5,41
19:46:56,15,0,6,7,8,41
19:46:57,15,0,7,2,3,32
19:46:57,15,0,18,1,10,44
19:46:58,15,0,11,0,6,43
19:46:59,15,0,9,4,5,51
19:46:59,15,1,19,7,2,28
19:47:00,15,0,14,2,1,48
19:47:01,15,0,6,4,3,21
19:47:01,15,0,3,2,2,41
19:47:02,15,0,23,5,4,41
19:47:03,15,0,13,4,2,39
19:47:03,15,0,10,4,8,46
19:47:04,15,2,9,7,9,35
19:47:04,15,0,9,3,8,31
19:47:05,15,0,6,3,2,40
19:47:06,15,1,7,5,9,31
19:47:06,15,0,12,5,11,49
19:47:07,15,0,14,3,11,52
19:47:08,15,0,11,3,4,43
19:47:08,15,0,21,2,6,26
19:47:09,15,0,3,1,17,39
19:47:09,15,0,13,5,5,38
19:47:10,15,0,12,4,9,38
19:47:11,15,0,19,8,8,42
19:47:11,15,0,10,2,4,42
19:47:12,15,0,6,1,13,47
19:47:13,15,0,10,6,3,36
19:47:13,15,0,11,2,9,25
19:47:14,15,0,4,2,5,42
19:47:14,15,0,10,5,3,55
19:48:28,15,0,12,2,3,50
19:48:29,15,0,15,2,6,40
19:48:30,15,0,12,2,4,32
19:48:30,15,1,5,11,5,42
19:48:31,15,1,17,3,7,18
19:48:32,15,0,6,3,3,41
19:48:32,15,0,17,2,5,49
19:48:33,15,0,15,3,6,45
19:48:33,15,0,5,2,7,47
19:48:34,15,0,7,3,3,38
19:48:35,15,4,9,8,9,32
19:48:35,15,8,7,5,14,20
19:48:36,15,0,11,8,2,48
19:48:37,15,0,14,2,3,54
19:48:37,15,0,18,4,5,40
19:48:38,15,0,15,4,6,49
19:48:38,15,0,15,1,1,33
19:48:39,15,0,8,2,7,34
19:48:40,15,1,6,6,8,30
19:48:40,15,0,10,8,2,38
19:48:41,15,0,8,4,8,51
19:48:42,15,1,16,9,8,44
19:48:42,15,2,13,9,6,37
19:48:43,15,1,8,3,9,22
19:48:43,15,0,3,4,4,46
19:48:44,15,0,2,2,10,30
19:48:45,15,0,15,2,1,35
19:48:45,15,0,12,2,1,42
19:48:46,15,0,16,3,5,43
19:48:47,15,0,12,2,5,42
19:48:47,15,0,4,1,9,32
19:48:48,15,0,4,4,1,34
19:48:48,15,0,2,4,8,45
19:48:49,15,0,14,2,8,42
19:48:50,15,0,10,2,5,52
19:48:50,15,0,18,5,6,32
19:48:51,15,0,9,6,10,45
19:48:52,15,0,15,3,5,38
19:48:52,15,0,6,2,5,19
19:48:53,15,3,5,5,7,22
19:48:53,15,0,19,6,6,40
19:48:54,15,0,11,5,1,41
19:48:55,15,0,21,3,7,28
19:48:55,15,0,6,3,12,44
19:48:56,15,11,10,12,2,25
19:48:57,15,0,5,6,11,44
19:48:57,15,0,4,3,15,34
19:48:58,15,0,13,5,5,44
19:48:59,15,0,23,4,5,36
19:48:59,15,0,15,2,5,33
19:49:00,15,0,9,5,5,32
19:49:00,15,0,7,1,2,37
19:49:01,15,0,5,2,4,25
19:49:02,15,0,6,4,5,36
19:49:02,15,0,13,1,11,49
19:49:03,15,0,11,4,10,40
19:49:04,15,0,10,3,2,42
19:49:04,15,0,9,3,2,37
19:49:05,15,0,9,3,7,26
19:49:05,15,0,7,4,5,25
19:49:06,15,0,17,2,11,34
19:49:07,15,0,27,2,6,44
19:49:07,15,0,18,2,5,34
19:49:08,15,0,14,2,5,38
19:49:09,15,0,3,2,7,42
19:49:09,15,0,20,3,7,24
19:49:10,15,0,8,2,1,33
19:49:10,15,0,19,4,3,49
19:49:11,15,0,8,8,6,52
19:49:12,15,2,15,8,5,32
19:49:12,15,0,7,7,8,52
19:49:13,15,0,12,3,3,39
19:49:14,15,0,9,3,5,31
19:49:14,15,0,5,1,2,42
19:49:15,15,0,27,5,4,46
19:49:16,15,0,16,4,6,52
19:49:16,15,0,32,4,3,25
19:49:17,15,0,10,5,6,30
19:49:17,15,6,10,4,11,18
